workerid,proliferate.condition,attention,choice,item,polarity,response,trial_id,trial_no,type,voice,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.otherRegion,subject_information.price,subject_information.region,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1030,All,,True,,,,example,,,,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,kappalainen,positive,kappalainen,,0,existential,active,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,tulipalo,positive,tulipalo,,1,existential,active,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,jokin,positive,jokin maininta,,2,existential,active,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,kappalainen,positive, kappalainen,,3,existential,passive,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,persikka,positive,persikka,,4,existential,active,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,valtio,positive,valtio valtiossa,,5,predicative,passive,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,valtio,positive,valtio valtiossa,,6,predicative,active,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,valtio,positive,valtio valtiossa,,7,existential,passive,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,persoonallinen,positive,persoonallinen suhde,,8,existential,active,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,harvinainen,positive,harvinainen erikoistapaus,,9,existential,passive,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
1030,All,critical,,jokin,positive,jokin maininta,,10,existential,passive,20,Yes,,2,1,Female,Suomi,,1,Pohjois-Pohjanmaa,Chrome,Linux,800,360,5.45705,
